Time,Date,Sender_account,Receiver_account,Amount,Payment_currency,Received_currency,Sender_bank_location,Receiver_bank_location,Payment_type,Is_laundering,Laundering_type
22:43:46,2023-08-18,620577432,6788426222,5256.02,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
04:28:38,2023-01-03,9750967270,7565483143,6375.0,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
08:57:38,2022-11-12,1189163438,3116890352,2636.11,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
19:27:30,2023-05-08,87684837,5622442971,9308.96,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
20:14:50,2023-03-25,706457524,5022852820,6626.49,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Plus_Mutual
15:55:07,2023-04-10,9278417048,7467942803,17050.46,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
11:34:34,2023-01-28,8986538698,2352176233,200.61,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
16:17:00,2023-04-05,6123762963,6501390839,2223.14,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
13:13:15,2022-12-20,5564522453,4063758161,6195.9,Mexican Peso,UK pounds,Mexico,UK,Cross-border,0,Normal_Fan_Out
14:23:36,2023-06-23,4075502425,608551701,4939.91,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:28:11,2023-04-10,1382674404,9817700115,5634.22,Euro,UK pounds,Austria,UK,Cross-border,0,Normal_Fan_Out
13:04:30,2023-07-21,7056266274,3625310304,3801.13,UK pounds,UK pounds,UK,UK,Cheque,1,Scatter-Gather
11:06:44,2023-01-29,4233444813,371532378,10198.67,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
13:35:14,2023-04-01,8943157074,8930295759,7558.86,UK pounds,US dollar,UK,USA,Cross-border,0,Normal_Fan_Out
22:17:44,2022-11-17,5968507161,7492137466,7959.03,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Periodical
09:24:17,2022-11-19,8205432386,734969360,38413.0,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Plus_Mutual
00:17:09,2023-08-10,1473212344,1359168174,213.35,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
08:13:29,2023-01-31,4929542363,35545289,720.05,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
20:17:18,2022-12-28,8574201508,1230975048,1277.11,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
13:48:52,2022-10-12,6732720311,1386648400,5069.31,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
15:01:12,2023-03-16,3911240239,8610669282,5501.91,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
12:04:12,2023-05-21,7468424181,4721229270,286.09,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
18:15:45,2022-12-19,1181812637,6471321986,334548.45,UK pounds,Euro,UK,Spain,Cross-border,0,Normal_single_large
08:26:54,2022-11-07,5763331194,5023051675,1114.24,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
18:44:01,2022-11-26,1649775354,9301272068,4356.99,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
14:15:51,2022-12-07,2804930423,1666395444,656.15,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
07:17:06,2023-07-11,2488893433,57359957,1682.8,UK pounds,UK pounds,UK,UK,Cash Deposit,1,Smurfing
07:29:24,2022-12-24,8562739086,3437791636,110.15,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
18:13:31,2023-02-20,9213364115,5639058750,1385.9,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
14:07:01,2023-03-23,4276700448,7174805893,8529.45,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
15:30:20,2023-01-05,8894190970,3781986126,8430.22,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
19:12:05,2023-07-27,6433325065,1327402857,12523.29,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
14:02:14,2023-06-28,9458093827,1975434479,783.47,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:46:31,2023-08-15,8289990709,466166875,4996.21,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
17:03:04,2022-11-30,5091887946,7220847420,4462.46,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Periodical
18:59:02,2023-01-14,2403563054,4749640876,2742.74,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
12:14:07,2023-06-26,4647980880,2614093567,1093.96,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
17:30:14,2022-11-14,22723596,9792625103,6275.29,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
05:29:34,2022-11-06,8199701743,6546376480,760.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
08:24:16,2022-10-13,5015151454,456896218,2827.83,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
23:20:00,2023-06-14,1491914813,4984943049,12504.06,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
17:29:21,2023-06-08,3250305296,4526504499,1901.76,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
12:14:10,2023-08-17,2218453092,9828804196,287.58,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
21:44:47,2022-11-02,5638484631,2348686278,2261.8,UK pounds,Mexican Peso,UK,Mexico,Cross-border,0,Normal_Periodical
20:44:38,2023-08-05,8728810272,6783093940,8315.54,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
15:47:36,2023-03-11,2675522761,2370330735,7837.62,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
02:19:12,2023-02-22,3666719333,7927819536,859.74,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
14:23:19,2023-07-18,6658120999,4584673971,234.86,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
14:07:41,2023-06-20,5743263095,1300575278,16871.24,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
21:33:24,2023-05-16,7777102570,5865976210,5297.68,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
01:10:56,2022-11-22,9597477350,2282116150,8708.46,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
23:38:19,2022-10-09,7971561495,2225924818,5645.32,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
16:18:56,2023-06-20,924968199,7227983644,14883.05,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
14:21:44,2022-10-23,4472002818,1601261309,95.45,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
13:41:38,2023-08-20,5617634406,1337864403,3031.34,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Small_Fan_Out
11:27:02,2023-01-06,68853622,2239113030,44.76,UK pounds,Euro,UK,Germany,Cross-border,0,Normal_Small_Fan_Out
16:59:01,2023-08-02,5708319320,3889257995,3156.88,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
19:53:06,2023-04-25,5278718074,5598208577,2035.14,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
23:42:03,2022-10-31,4738830567,7714523932,720.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
21:58:17,2022-11-21,408892251,6201401732,10523.82,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Fan_Out
21:38:54,2023-08-04,7491630618,825572344,7898.92,Indian rupee,UK pounds,India,UK,Cross-border,0,Normal_Fan_Out
14:10:44,2023-02-19,2408387366,4904552497,2170.59,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
22:20:01,2022-12-03,2794722811,1125027562,8547.05,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
14:57:14,2023-02-27,83636920,4794239383,7401.65,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Fan_In
02:21:30,2023-08-03,2657038520,5893741140,5131.85,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
20:25:42,2023-02-25,671683678,9678025111,4007.91,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
10:21:33,2022-10-29,2766513361,1224787115,4795.51,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
13:15:18,2022-11-19,1320927231,121469874,4880.84,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
00:33:59,2023-04-15,7360819972,8520404503,7595.5,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
11:24:37,2023-02-03,8696376647,7103516158,6469.45,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
14:27:57,2023-07-22,834341898,7063612136,11085.84,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
18:41:14,2023-04-12,5299499611,7994198981,1675.98,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
23:20:15,2022-12-22,5348670434,5827277772,3581.32,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
15:54:55,2023-06-19,4700418700,5313805569,9452.92,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
08:53:56,2022-12-06,4896792740,6633603708,224.19,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:44:45,2023-07-07,3953792587,9004385256,28888.11,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
13:59:04,2022-10-26,4405201818,6779138407,334.4,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
08:33:45,2023-05-16,2030308089,4724909574,17986.35,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Periodical
02:54:35,2023-05-12,8505166011,4168750223,356.29,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
01:31:13,2023-08-20,4270932656,6953672776,59573.25,Euro,UK pounds,France,UK,Cross-border,0,Normal_Mutual
10:09:09,2023-03-18,9820402258,7626296765,13424.84,Turkish lira,UK pounds,Turkey,UK,Cross-border,0,Normal_Fan_Out
09:40:27,2022-12-13,6148247586,3950352859,6250.17,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
12:22:32,2023-03-13,3186206206,9543448716,1710.57,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
10:54:27,2023-06-28,5724239045,4749640876,2941.13,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
16:07:27,2022-10-19,1740588255,6301996219,3785.57,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
11:20:52,2023-08-19,6459096489,734533949,60986.37,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Mutual
22:52:11,2023-07-05,1425529588,5174642949,4750.27,US dollar,UK pounds,USA,UK,Cross-border,0,Normal_Fan_Out
13:45:34,2023-02-28,1579127528,7927739770,1465.99,UK pounds,Euro,UK,France,Cross-border,0,Normal_Periodical
20:49:04,2022-12-14,1222037531,4382775538,4783.86,Turkish lira,UK pounds,Turkey,UK,Cross-border,0,Normal_Fan_In
22:41:29,2023-07-30,5965536428,3168864248,13639.19,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
18:53:53,2023-04-05,523016806,241629812,12849.04,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
08:23:26,2023-05-30,3171616698,8220468362,7930.36,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
09:54:48,2022-11-15,7959970259,6064016221,824.9,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
13:16:57,2023-04-07,3897752004,8762787408,179.81,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
18:19:01,2022-10-17,8798058414,8105782132,2690.3,Euro,UK pounds,Germany,UK,Cross-border,0,Normal_Small_Fan_Out
14:24:21,2022-12-14,9257555964,5095159851,6397.27,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
18:14:25,2023-05-22,6084350882,4505458394,2803.88,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
21:20:18,2023-06-05,2969470686,2356765187,8493.3,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
08:03:43,2023-08-20,5142782371,6462300533,4213.56,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Foward
10:12:58,2023-05-08,3621927221,6039831632,5533.11,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Group
23:10:59,2023-06-30,4002300352,4283326561,11138.2,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
08:14:08,2022-11-29,3246990702,7594380158,1267.38,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:16:28,2023-04-11,4580576731,1933989778,11613.75,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
05:39:49,2023-02-14,4071652489,7464899939,469.09,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
21:38:59,2023-04-01,9422219036,2601393611,12846.51,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
17:10:26,2023-07-24,8097934495,7485605729,3097.76,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:21:20,2022-11-03,9392700144,1692702585,7965.28,US dollar,UK pounds,USA,UK,Cross-border,0,Normal_Fan_Out
20:29:43,2023-05-06,1094744913,4854249338,6517.72,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
23:47:43,2023-07-22,8915610320,7228171825,1595.86,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Group
12:21:21,2023-08-12,5072151656,8411612827,77.43,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:28:32,2023-06-30,4343164134,7524020688,487.42,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
15:24:07,2023-06-13,3143503363,9018788338,5839.2,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
21:06:18,2023-03-10,7961549830,635236090,6704.27,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
14:30:54,2023-05-08,2802522071,6758683674,658.93,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
23:53:58,2023-04-07,6287145929,6504661252,840.28,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
23:37:34,2023-04-12,9055543964,9972771675,94.98,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
13:24:18,2023-05-21,4642827646,642459990,19127.36,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
21:13:15,2023-07-21,1977453554,9614766848,12532.35,Yen,UK pounds,Japan,UK,Cross-border,0,Normal_Fan_Out
05:19:29,2022-10-23,3592634720,3551565255,7935.85,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
00:36:24,2022-12-27,6950818195,270425671,18352.78,Euro,UK pounds,Italy,UK,Cross-border,0,Normal_Fan_In
14:19:40,2023-05-12,686676613,8384592966,7950.99,UK pounds,UK pounds,UK,UK,Cheque,1,Layered_Fan_In
21:23:58,2023-05-14,7108534448,3821308392,6199.71,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Periodical
08:28:48,2022-12-12,3567259334,2429060416,2320.18,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
08:06:04,2023-02-08,8478358623,9902740361,8172.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
22:50:32,2022-10-09,7893779538,5224547817,26331.26,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
22:33:13,2023-04-19,2085572185,1035817405,7738.94,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
23:05:15,2022-11-09,9004239799,1232276566,475.45,Turkish lira,UK pounds,Turkey,UK,Cross-border,0,Normal_Small_Fan_Out
04:24:46,2022-12-09,8042070370,5956013496,4739.18,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:03:14,2022-10-31,2928367983,7611860935,22744.05,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
19:19:51,2023-06-11,703667502,6739152339,5361.0,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Plus_Mutual
12:24:09,2023-07-23,1118335855,7131369919,91.79,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
20:14:25,2023-08-16,6494663722,157892774,34737.06,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_Out
16:08:43,2023-02-07,1826015283,3925886128,6215.4,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
12:33:06,2023-03-13,155462012,1265983749,3015.91,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
11:56:03,2023-05-16,2424234165,2657994998,1244.52,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
02:22:19,2022-11-10,9009359616,3623527812,335.98,Mexican Peso,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
03:41:04,2023-02-01,4410443177,5719977023,15146.42,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
01:14:28,2022-10-13,4838752301,8744447047,14371.8,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
22:22:33,2023-03-14,2173814957,4063512730,1127.83,UK pounds,Yen,UK,UK,Credit card,0,Normal_Small_Fan_Out
16:28:50,2023-08-03,9559039761,8980032385,72585.77,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_single_large
08:41:03,2023-01-13,1544627726,5281739315,4511.07,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
23:57:06,2023-07-09,7748008480,4086871779,1510.94,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
16:03:48,2023-08-15,1982329502,4435310641,9974.85,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
08:03:15,2023-01-23,630043131,8796098712,23849.74,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
17:13:25,2023-02-27,7012682568,7393133157,8361.7,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
01:24:05,2023-06-03,612909010,2728434744,15167.69,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Foward
23:33:28,2023-05-15,6500285205,9486280719,3260.51,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
05:57:45,2023-07-14,4749719835,1979511733,6261.02,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
15:28:27,2023-06-06,5184411178,5950459995,3909.66,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
14:35:28,2023-01-30,2534272844,8395048012,4075.38,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
16:46:34,2023-02-06,6731396146,2355784511,11814.19,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
12:07:45,2023-08-04,5130713563,3476309810,13938.72,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
22:20:14,2022-12-02,9338663127,1825802534,6756.19,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
18:59:48,2023-01-04,8738140897,1648881820,24212.79,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Mutual
21:48:27,2022-12-01,8169967989,2181159775,14523.78,Euro,UK pounds,France,UK,Cross-border,0,Normal_Small_Fan_Out
15:03:55,2023-05-25,22777952,3872779440,9921.23,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
20:54:36,2023-03-23,4564422499,7160451422,10311.29,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
23:37:23,2023-04-24,986486952,1646413951,5273.51,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
22:55:16,2023-08-02,5435316010,6703314339,7765.71,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
08:29:30,2023-05-24,1880469213,1718571961,5772.04,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
16:01:13,2023-07-12,4256692934,9221810014,697.99,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
13:01:13,2023-01-21,5070041310,9127084625,410.55,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
21:11:28,2023-08-19,1731860629,9731695184,9306.84,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
08:27:39,2023-06-13,9029502873,9730022719,4906.37,UK pounds,Euro,UK,France,Cross-border,0,Normal_Fan_Out
00:30:51,2022-11-30,6051754671,7957851023,16154.83,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
17:53:19,2023-03-08,4000662475,786787124,5801.56,Euro,UK pounds,France,UK,Cross-border,0,Normal_Fan_In
13:02:37,2023-02-14,8484806712,8274836281,3821.85,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
18:55:10,2023-08-02,9137244140,1918796921,8452.42,UK pounds,Swiss franc,UK,Switzerland,Cross-border,0,Normal_Fan_Out
13:37:23,2023-05-24,2912097120,5882315057,7272.62,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
16:22:42,2023-03-13,1695584314,4106833178,476.28,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
14:52:27,2023-01-11,2320560721,560243925,2674.15,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
15:41:51,2022-10-25,2627685146,7994896277,3580.95,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
13:00:37,2023-02-26,7469174330,6054774421,8270.95,Moroccan dirham,UK pounds,Morocco,UK,Cross-border,0,Normal_Fan_Out
12:53:06,2023-07-09,5898792790,9626688740,4970.01,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
01:26:44,2023-05-31,7936124750,5180291280,11891.84,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
08:51:27,2022-12-28,6817995833,369898590,4369.11,UK pounds,UK pounds,UK,UK,Cash Deposit,0,Normal_Cash_Deposits
09:51:33,2023-02-12,6176940453,9361416372,285.42,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
05:58:00,2023-03-15,7402716298,9985951896,329.3,Mexican Peso,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
22:46:32,2023-02-04,2255835156,9704016376,6350.53,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_Out
17:52:30,2023-07-21,830661747,8110319797,14999.95,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
13:08:04,2023-04-01,4458673053,8856840741,5656.18,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
15:42:22,2023-06-15,1653852852,3520610766,6791.78,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
14:55:36,2023-08-14,704484357,6762760726,9278.07,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Fan_Out
15:34:41,2023-08-08,3509531549,9606537579,610.06,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
14:35:58,2023-03-30,9602295535,2089738576,5348.07,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
23:19:19,2023-07-10,3886886489,8380342730,14199.76,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Periodical
15:19:08,2023-03-22,7002889770,9631896100,893.41,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
11:41:10,2023-07-07,1629119439,5855467552,15852.02,UK pounds,Moroccan dirham,UK,UK,Debit card,0,Normal_Fan_In
20:01:12,2023-08-04,1051051655,6730174593,2206.38,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
16:22:32,2022-12-02,955267597,8113972414,773.5,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Small_Fan_Out
19:48:24,2023-03-04,3176623295,6115108873,6821.87,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
11:00:40,2023-01-03,4125159936,3099842868,4308.96,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
15:00:03,2022-11-05,6154383980,4718734904,41.3,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
10:08:04,2023-06-09,759081016,6010225513,18734.17,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
04:32:43,2023-02-27,5093265040,3599718593,4648.61,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Plus_Mutual
02:21:37,2023-02-01,6198523009,5126476939,481.07,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
19:19:15,2023-08-01,7135309371,5038834281,90109.99,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Mutual
10:19:15,2023-04-13,853700028,3780216892,11027.07,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Fan_In
05:11:28,2022-12-30,4965147033,9991911497,345.48,UK pounds,UK pounds,UK,UK,Cash Withdrawal,0,Normal_Cash_Withdrawal
16:56:52,2022-12-08,7442191771,9721793489,5836.14,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_Out
14:13:36,2022-10-24,5668568277,9885188464,16754.94,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Fan_In
22:57:33,2023-02-14,5890893354,2836869610,440.95,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Group
19:01:29,2022-11-28,898892489,7047494867,222.05,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
23:34:13,2023-01-03,7658946456,6225461975,575.42,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
18:14:30,2022-11-28,8847303738,2733183739,6996.53,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Fan_In
23:36:04,2023-01-04,622563575,1215740475,4534.46,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Group
21:35:02,2022-11-12,6446356790,7678877445,15861.46,Yen,UK pounds,Japan,UK,Cross-border,0,Normal_Fan_In
12:44:37,2023-03-14,6728860856,2400406450,13372.72,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_Out
12:21:42,2022-10-30,6125990835,7921471727,9418.38,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Small_Fan_Out
08:09:18,2023-01-14,5314072177,5497676860,89738.68,UK pounds,UK pounds,UK,UK,Cheque,0,Normal_Mutual
09:21:14,2023-03-19,3227833852,7258726468,921.83,UK pounds,UK pounds,UK,UK,Debit card,0,Normal_Small_Fan_Out
10:45:33,2022-12-14,2269104053,4929320965,956.83,UK pounds,Euro,UK,Italy,Cross-border,0,Normal_Small_Fan_Out
19:21:10,2023-01-01,6354517780,8844471877,27176.25,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
19:05:13,2022-10-09,4277375507,1189761566,424.86,UK pounds,UK pounds,UK,UK,Credit card,0,Normal_Small_Fan_Out
19:08:10,2022-11-17,8544438442,3402526415,11773.84,UK pounds,UK pounds,UK,UK,ACH,0,Normal_Fan_In
09:02:21,2023-06-14,7109756204,4237739179,6375.46,UK pounds,Pakistani rupee,UK,Pakistan,Cross-border,0,Normal_Fan_In
